Expt,PFE [W m-2],LHF [W m-2],SHF [W m-2]
S0,151.005621883,150.354531079,17.1628587575
S1,144.739528446,144.087059946,9.77110587973
S2,136.1164185,135.172891914,1.79588371183
S3,129.16683372,127.883486619,-2.12306658775
S4,124.486558803,123.751533819,-4.08887523913
