time_index, expt, max precip [mm/hr]
3817,S3,132.10507779
3817,S4,109.149007874
3818,S0,123.965109444
3818,S1,161.789711757
3818,S2,206.971710212
3818,S3,111.022463911
3818,S4,94.7161688227
3819,S0,135.134843715
3819,S1,193.060916898
3819,S2,157.29397782
3819,S3,159.182873424
3819,S4,123.305575993
3820,S0,191.729406549
3820,S1,153.097790859
3820,S2,104.038021494
3820,S3,154.360347158
3820,S4,119.378153998
3821,S0,176.612045293
3821,S1,152.69139884
3821,S2,92.1906627624
3821,S3,148.19881564
3821,S4,70.7943635646
3822,S0,163.888712371
3822,S1,133.178808206
3822,S2,139.616229516
3822,S3,179.461505894
3822,S4,108.807715732
3823,S0,190.749898989
3823,S1,171.932273581
3823,S2,167.884230533
3823,S3,135.231709705
3823,S4,96.0635744763
3824,S0,170.37746072
3824,S1,179.807825569
3824,S2,197.093364365
3824,S3,224.00257071
3824,S4,157.67592252
3825,S0,184.410222099
3825,S1,216.353178236
3825,S2,154.048902726
3825,S3,222.179260619
3825,S4,105.274262538
3826,S0,152.402459007
3826,S1,230.654140126
3826,S2,179.215922483
3826,S3,262.259811333
3826,S4,107.393385535
3827,S0,159.403515689
3827,S1,195.647726564
3827,S2,174.462539855
3827,S3,171.349728244
3827,S4,82.8568511013
3828,S0,150.648083332
3828,S1,158.760051272
3828,S2,181.143952909
3828,S3,146.611275089
3828,S4,89.8851171183
3829,S0,178.598418959
3829,S1,182.334625956
3829,S2,169.237764789
3829,S3,122.104690661
3829,S4,99.1784648937
3830,S0,155.876289286
3830,S1,190.066284017
3830,S2,185.582622341
3830,S3,159.302468493
3830,S4,124.659744223
3831,S0,173.351652207
3831,S1,144.916118748
3831,S2,151.67991159
3831,S3,170.453155611
3831,S4,104.639941285
3832,S0,179.188777646
3832,S1,206.728508056
3832,S2,147.926609085
3832,S3,135.126260131
3832,S4,117.938230985
3833,S0,149.013892843
3833,S1,185.077654515
3833,S2,137.011857762
3833,S3,124.183386788
3833,S4,119.297403585
3834,S0,162.712682617
3834,S1,196.727535944
3834,S2,164.636870744
3834,S3,111.713307831
3834,S4,118.995710005
3835,S0,196.199430296
3835,S1,200.333076181
3835,S2,182.177491539
3835,S3,86.6556775276
3835,S4,63.720938212
3836,S0,154.403477315
3836,S1,167.360743587
3836,S2,170.851182843
3836,S3,141.561892641
3836,S4,116.102602762
3837,S0,207.471853677
3837,S1,147.776699783
3837,S2,184.055953702
3837,S3,140.456145064
3837,S4,127.142438427
3838,S0,185.438450083
3838,S1,144.428746012
3838,S2,146.488265717
3838,S3,118.218846718
3838,S4,133.426832394
3839,S0,167.277859816
3839,S1,153.080079422
3839,S2,180.194541643
3839,S3,99.3482599248
3839,S4,164.657089479
