z, expt, m, c, rval, pval, stderr
0,S0,-6.8776984616,9.72591048793,-0.997408491313,2.97563093257e-31,0.097295594562
1,S0,-5.24290003995,9.37825706285,-0.998180532808,7.75696513395e-42,0.0551308880577
2,S0,-4.26245090626,9.15356837719,-0.996834673629,2.11324923866e-43,0.0551473639991
0,S1,-3.85177972969,8.44726127575,-0.992734432928,1.03923406964e-34,0.0778102083183
1,S1,-2.99767127016,8.0970779923,-0.993269736105,1.01337155353e-44,0.0515391165313
2,S1,-2.47608307263,7.82879396369,-0.991639292157,8.12438103583e-49,0.0442588796694
0,S2,-2.41789323222,7.34018279457,-0.99300672342,3.8922066548e-47,0.041065926439
1,S2,-1.91531741277,7.03394104321,-0.98664430019,1.27543903063e-46,0.0418828378224
2,S2,-1.64565340474,6.7965804825,-0.981563299225,1.02589575242e-47,0.0400567447076
0,S3,-1.94183759562,6.77358199199,-0.990263157215,6.24744988398e-48,0.0371475122437
1,S3,-1.53426056779,6.47741105799,-0.987036196307,1.42124832075e-52,0.0311849584145
2,S3,-1.24890128641,6.1752277053,-0.982496919359,1.4582969141e-53,0.0281016130045
0,S4,-1.92446169729,6.70426769297,-0.987425432656,1.47625147216e-46,0.0411720883818
1,S4,-1.53406613125,6.42371012557,-0.984091882161,1.67469320891e-50,0.034351210359
2,S4,-1.25312580197,6.13450210391,-0.978251402346,3.02598307413e-50,0.031533442802
